Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao
70,0,0,0,156.39712530442264,25.620997392689155,1087.3282055398959,549.5557875197303
80,0,0,0,161.39146961222892,22.830909541144646,1066.9773946882915,-124.98316809625545
90,0,0,0,152.47603006235516,22.420223435234966,1065.9858518714666,-614.3628618142408
100,0,0,0,153.9440247503714,25.198975862888222,1081.021777245365,-295.6855503906671
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,173.62724210455795,25.494695953361028,1145.3504259474257,1577.526288581781
20,0,0,0,168.26239140967093,25.15094402836851,1124.6890995013168,1471.0528020949437
30,0,0,0,165.29676531114237,25.56712957050631,1120.6352758960097,1364.6818174166137
40,0,0,0,168.66574923067404,25.541989900626355,1127.5299370838854,1258.5511259677883
50,0,0,0,158.48725207272787,24.20609646043898,1095.931199766338,803.8535025037654
60,0,0,0,158.13965606868936,25.645873780153632,1117.7991187877833,1066.9757685616776
70,0,0,0,161.06915980957285,23.44427835085002,1088.103550741036,321.80203979245715
80,0,0,0,157.00936080615742,25.663017909511815,1104.1863631061108,248.7424480041332
90,0,0,0,153.63454064010037,25.316406773981328,1076.8951662602194,-54.831967030218465
100,0,0,0,155.3348875186651,22.3101966438894,1054.5714300026389,-975.2864427324123
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,174.14587745180603,25.490389639295913,1143.4468365055734,1577.5507974890986
20,0,0,0,168.36331566185692,25.346409852546778,1122.88106627085,1471.0539042900982
30,0,0,0,168.42458385406258,25.32074879098872,1122.834187908952,1364.7970964351077
40,0,0,0,163.75264076438472,24.29934623126192,1106.690715841664,1203.903376463822
50,0,0,0,161.22051373700256,25.61420748094188,1101.7703869288423,1118.241053926276
60,0,0,0,161.27049179892268,25.6107706682615,1119.817680317883,1067.0451140784942
70,0,0,0,160.42632462723105,24.067164528416885,1085.0101310020782,221.11392102924165
80,0,0,0,154.39949541133237,25.266286432562826,1078.564729234668,208.43177223261773
90,0,0,0,156.13365571859782,22.39279114873618,1044.8177139312468,-692.1307248202027
100,0,0,0,151.78027564637952,25.266812437671224,1105.3518285765324,224.50301239727426
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,173.71468180078315,25.492317454017503,1144.2186617892924,1577.536218362512
20,0,0,0,168.79073971768392,25.044888857391594,1121.7005033911291,1471.067971266089
30,0,0,0,170.1762728512661,25.190814413032548,1125.148093975727,1364.870507428162
40,0,0,0,161.83604271473004,24.282580189776834,1107.7952151429429,1258.3173641067817
50,0,0,0,159.68456272131644,25.62781614639393,1109.4293605402916,1152.00981593449
60,0,0,0,160.7376870406351,24.16215371465742,1098.9540890332557,578.1430971632811
70,0,0,0,156.1369102424956,22.929113002794598,1075.9867742377305,316.46201791810097
80,0,0,0,155.900732798586,22.82306536483724,1071.3301840669344,-243.2264689245355
90,0,0,0,153.1096470167079,23.293105068343994,1104.3807971713206,-613.1817120388456
100,0,0,0,150.43011020011966,25.02581130020933,1104.4993298653706,-297.04282756443115
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,174.7265438794246,25.488079540766083,1149.9207632746545,1577.5723349719312
20,0,0,0,169.45787612135896,25.529523404674386,1136.0095663307573,1471.093589329915
30,0,0,0,169.00943957550638,24.95930273815448,1122.0869993352426,1364.817852641256
40,0,0,0,162.65556137295923,25.593993052416632,1101.4338448235383,1258.3678000146072
50,0,0,0,165.146121130527,25.57953851075728,1105.518327998354,1144.2580097897064
60,0,0,0,161.12235721923136,25.617835710927242,1108.028774083098,1067.0293214447984
70,0,0,0,158.53575048539938,25.642135563552344,1084.8593097332089,585.1584402526761
80,0,0,0,156.50608013277898,22.849199251482812,1067.6032995018563,-131.62867364224803
90,0,0,0,152.74971415940453,25.375585220904927,1083.8212834995404,-97.29785611668946
100,0,0,0,155.34716860257288,22.339338541881638,1055.181312038854,-982.5557703514612
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,174.970533562763,25.483323191960725,1147.295637320086,1577.5923301044945
20,0,0,0,169.74516348476467,25.22619755938524,1124.6823985713688,1471.1054813239327
30,0,0,0,167.54967266125658,24.9144880025275,1121.7961992526489,1364.7650573245687
40,0,0,0,169.012958721459,25.035633691595432,1125.645094909519,1258.5715287151331
50,0,0,0,162.7163634926293,25.59302321493374,1114.1327470109225,1118.2809592237397
60,0,0,0,163.19643229388438,23.877494310941913,1096.0580460670176,631.550400473049
70,0,0,0,158.5368517032362,23.1451969331673,1071.924739923083,223.1234562017625
80,0,0,0,158.15572517375264,22.612700569252695,1062.9104441512368,-257.37634146228913
90,0,0,0,153.90765989379102,22.765468405908617,1073.3713045755792,-470.38779902738844
100,0,0,0,150.4215279160926,22.358743845549736,1063.6495974010022,-557.456420122843
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,174.3018836287747,25.488031304471157,1148.3383528739146,1577.5630560584707
20,0,0,0,170.58281191752823,25.52205116808296,1134.8981253541988,1471.1332376819757
30,0,0,0,164.8612677806213,24.651111371135855,1114.2786902475705,1364.66630660348
40,0,0,0,166.83646061306897,25.55932111723047,1127.831555538516,1258.4730631105904
50,0,0,0,163.09785469002378,25.58938951235358,1116.076426918551,1124.3487708977402
60,0,0,0,161.73578780888968,23.482145853658587,1082.9176712186966,711.7342286091525
70,0,0,0,160.736297287679,25.617176818764914,1105.941347047162,874.697895194374
80,0,0,0,153.92644457176274,25.44701195689632,1100.7286225593853,290.05510227794656
90,0,0,0,155.48564280379568,25.32205349465906,1104.8946798679915,342.06744700491726
100,0,0,0,155.55609157873573,25.3448150769038,1097.3199072960042,-402.30352280783757
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.25142945489648,25.481484452996458,1149.3463049624727,1577.6044416160066
20,0,0,0,173.94408424974358,25.49273658609212,1144.9456798726837,1471.291272014057
30,0,0,0,169.57430771712043,25.190280372959954,1122.4759657631116,1364.831836341176
40,0,0,0,167.20810301941472,24.655895920988705,1103.331229223698,1258.4975565094878
50,0,0,0,163.58813767980814,23.958960346730663,1098.5362602096804,831.5846282429628
60,0,0,0,158.38099941452052,23.755139459027898,1076.000836598389,566.5765594556243
70,0,0,0,159.78655072945637,25.627685715319235,1088.835745476951,534.1599733790756
80,0,0,0,156.1783515712295,23.15493869993048,1078.065159693952,-133.03595728460792
90,0,0,0,154.1209889422183,22.510070292684546,1065.4548876601036,-354.5318088172035
100,0,0,0,155.74016976616986,25.45248181476858,1077.7304912460163,-397.8670721282007
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,173.65666551423988,25.492627504542675,1145.1457402423002,1577.5343369832858
20,0,0,0,171.89309764584985,25.507283767679397,1141.9178055112177,1471.2025322959132
30,0,0,0,166.78377568201967,24.859527895576072,1120.3878476113996,1364.748868350359
40,0,0,0,164.69163817771604,25.57310172674479,1116.097019822863,1258.4095602498642
50,0,0,0,161.0845098049765,23.561662676361728,1083.4959844087775,1030.8484928109426
60,0,0,0,161.73268120985938,23.982271136638644,1098.1513527687857,708.327383701381
70,0,0,0,159.339623147137,25.631560818951186,1097.242744735815,528.0515587675585
80,0,0,0,153.1315735271743,25.411854590954597,1139.4144618035536,705.8232111828779
90,0,0,0,151.79792308327015,25.088054447269432,1090.9382974754092,-14.600713324959084
100,0,0,0,153.69228320876456,23.13299922276763,1073.137225189338,-814.5516195901832
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.5850288402724,25.478525354272183,1150.075425901019,1577.6222013939132
20,0,0,0,168.43923848352102,25.131515880800457,1125.7967953522182,1471.0605627698135
30,0,0,0,166.71664071302547,25.556051131564963,1120.7663832298103,1364.7283935645726
40,0,0,0,164.74298495482006,24.295469855157453,1107.1124513148468,1258.4042171690842
50,0,0,0,166.37665782355464,25.56011643425355,1127.8164956124817,1133.7728213896123
60,0,0,0,162.69804366203175,24.011080555846497,1081.728186776269,566.6822934561413
70,0,0,0,160.92734440793913,22.732687365364917,1063.254178998487,97.45048959341553
80,0,0,0,157.5805845520369,25.653659064817752,1089.963345440496,590.5849700203494
90,0,0,0,151.82706301765614,23.441058572681712,1092.4232607750785,-473.3588223474961
100,0,0,0,154.1220327956673,23.448864316674296,1075.5797680540445,-815.3488322406386
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,172.86213616905113,25.499432439734605,1144.681281537242,1577.4994514392308
20,0,0,0,171.11619889400643,25.2573216540826,1127.8631979378083,1471.1571556319464
30,0,0,0,166.48502375433065,24.18746339958044,1102.1971530308942,1364.7267881334456
40,0,0,0,168.03631374252052,25.538784606280146,1117.7940870088112,1258.5442778438437
50,0,0,0,162.7876353257672,23.944207304214782,1101.6880192184558,985.4256639491548
60,0,0,0,156.38266945488,25.67087244622902,1087.6437785334276,811.3924665564755
70,0,0,0,156.22961861404352,25.67428464405242,1109.4321561254762,515.9836519980284
80,0,0,0,155.7425724163734,25.441459383086688,1085.0045365935332,247.13005976073921
90,0,0,0,156.08724944359292,25.536839346765877,1089.5194766278328,-59.260447832697906
