Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao,Max_Cargamento_Trafo_pct
60,0,0,0,101.65698649778355,59.7987294753897,647.8829743628987,-41.538675679481415,9.645734171435718
70,0,44,44,176.9665402498135,62.151806728346244,1054.187841772883,-3002.181977807451,5.672295718104953
80,0,0,0,101.65698018266433,53.93868402603315,626.9988859487299,-1401.6306872328446,9.645733495770246
90,0,0,0,101.65698186474631,53.940915166635904,655.0852625958025,-2480.264134480959,9.645733567156018
100,0,526,526,381.26598511677844,99.71346883513277,2104.073566076255,-6205.705058167756,11.409128377697836
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.6570075932977,75.46791231199879,749.9236137306855,4112.37713085135,9.645736479952339
20,0,0,0,101.65700397681064,69.27754006765285,690.01355328326,3261.823547613185,9.645735915862671
30,0,0,0,101.65699754291653,62.74659259371232,647.567642952772,2093.2367124972925,9.645735516471133
40,0,0,0,101.65699306488092,62.624873107766675,654.1940664585876,1244.2348055097088,9.645734710485259
50,0,0,0,72.50636685750372,53.409926593042336,559.0473601082538,-731.6671424111634,5.737122505655445
60,0,0,0,101.65698584417622,52.91923679952221,578.701014409147,47.54078247326284,9.645734280029993
70,0,0,0,87.10758266379389,45.73928258992658,571.6662689235735,-3746.939239178955,7.029555563381422
80,0,135,135,117.35482808664541,60.303067054206736,799.359157727554,-1760.9854501590858,9.64573317012408
90,0,344,344,165.37141284539075,55.00526241498644,986.9035382548052,-4663.238850239376,9.64573246146127
100,0,438,438,193.87555666825085,54.741624097964966,1103.1263059865942,-5967.5605231178215,11.021664878528643
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65701180343918,77.95073456232139,787.2806472645294,4266.232812842171,9.645736726695638
20,0,0,0,101.65700243457067,71.75547977194758,708.244741991472,3485.093015891374,9.645736088911136
30,0,0,0,84.14926219481865,61.44467644733957,640.8539003724906,1464.5738327778834,7.453795209662798
40,0,0,0,101.6569906145423,60.1038053882401,644.5816163790631,1132.5536886262018,9.645734700635069
50,0,0,0,101.65698541488047,53.262908094123574,630.631141924672,-684.8150759437083,9.645734080057874
